,text,text_clean
0,"Terima kasih buat pembuat film dokumenter ini, terima kasih juga udah upload jd gampang nontonnya modal paket data. Saya terharu, setidaknya jadi obat buat saya supaya sembuh dari sakit katak dalam tempurung. Ã¢ÂÂ¤Ã¯Â¸Â",terima kasih buat pembuat film dokumenter ini terima kasih juga udah upload jd gampang nontonnya modal paket data saya terharu setidaknya jadi obat buat saya supaya sembuh dari sakit katak dalam tempurung
1,Bagaimana tanggapannya IKN di pindah,bagaimana tanggapannya ikn di pindah
2,Siapa disini yang cita2nya pengen jadi pengusaha batu bara?,siapa disini yang citanya pengen jadi pengusaha batu bara
3,semangat buat jurnalis yg buat ini..katanya dijadiin tersangka dengan tuduhan provokasi di twitter soal papua...emang susah kalau nyenggol yg gedeÃ°Å¸â„¢Â,semangat buat jurnalis yg buat inikatanya dijadiin tersangka dengan tuduhan provokasi di twitter soal papuaemang susah kalau nyenggol yg gede
4,Pertanggung jawaban di akhirat masih ada walau pun di dunia masih bisa lolos,pertanggung jawaban di akhirat masih ada walau pun di dunia masih bisa lolos
5,"34jt viewres...
  Apakah admin msh aktf??",jt viewres apakah admin msh aktf
6,"Luhut memang abadi, danzo didunia nyata",luhut memang abadi danzo didunia nyata
7,"ADA YG KESINI GARA"" PAK LUHUT JADI MENTRI LAGI?",ada yg kesini gara pak luhut jadi mentri lagi
8,Ada yang kesini setelah dia jadi plt menteri kelautan ?,ada yang kesini setelah dia jadi plt menteri kelautan
9,Sehat selalu bang dadhy dwi laksono Ã°Å¸â€Â¥Ã°Å¸â€Â¥Ã°Å¸â€Â¥Ã°Å¸â€Â¥Ã°Å¸â€Â¥,sehat selalu bang dadhy dwi laksono
10,"Ada yg kesini gara"" tugas MID ?Ã°Å¸Â¤Â£",ada yg kesini gara tugas mid
11,Ada yang kesini karena tugas??,ada yang kesini karena tugas
12,Bubu,bubu
13,"Sip, semuanya busuk!!! 
  Terimakasih atas Vidio nya yg sudah menyadarkan saya",sip semuanya busuk terimakasih atas vidio nya yg sudah menyadarkan saya
14,19:00 keren bet bapak ini,keren bet bapak ini
15,Satai ntar hisabnya diakhirat lama itu orang'' yg rakus duit,satai ntar hisabnya diakhirat lama itu orang yg rakus duit
16,Salah,salah
17,Mantap kali jawaban pemerintah kaltimÃ°Å¸ËœÂ¡,mantap kali jawaban pemerintah kaltim
18,"Pemimpin pemimpin yang dzolim 
  Yaallah lindungilah negriku..",pemimpin pemimpin yang dzolim yaallah lindungilah negriku
19,Mantap adegan 4646nya,mantap adegan nya
20,#MenolakLupa,menolaklupa
21,"Sekarang tgl 14 nov 2020 terbukti kan jokowi, sandiaga, Prabowo sama sama penjahat berkedok kwkwkw..video ini bener..mereka semua drama cuma demi uang dan kekuasaan..kwkwkwÃ°Å¸Â¤Â£",sekarang tgl nov terbukti kan jokowi sandiaga prabowo sama sama penjahat berkedok kwkwkwvideo ini benermereka semua drama cuma demi uang dan kekuasaankwkwkw
22,"Dan setelah sikian lama masih banyak yang diam dan terus ngalah
  Yang kaya satu dua yang jadi korban jutaan",dan setelah sikian lama masih banyak yang diam dan terus ngalah yang kaya satu dua yang jadi korban jutaan
23,"Suami mencari nafkah istri.
  .",suami mencari nafkah istri
24,Keren si videografinya sekelas national geoghrapic,keren si videografinya sekelas national geoghrapic
25,penyebab bisa 34jt view karena menit 00:00 - 1:02,penyebab bisa jt view karena menit
26,21rb dislike pasti para koruptor dan antek2nya,rb dislike pasti para koruptor dan anteknya
27,Kok openingnya gitu ya,kok openingnya gitu ya
28,Selamatkan rakyat desa miskin dkt pertambangan2di wilayah NKRIÃ°Å¸â„¢Â,selamatkan rakyat desa miskin dkt pertambangandi wilayah nkri
