text,reply count,like count,sentiment,
"Terima kasih buat pembuat film dokumenter ini, terima kasih juga udah upload jd gampang nontonnya modal paket data. Saya terharu, setidaknya jadi obat buat saya supaya sembuh dari sakit katak dalam tempurung. â¤ï¸",0,0,1,
Bagaimana tanggapannya IKN di pindah,0,0,,
Siapa disini yang cita2nya pengen jadi pengusaha batu bara?,0,1,,
semangat buat jurnalis yg buat ini..katanya dijadiin tersangka dengan tuduhan provokasi di twitter soal papua...emang susah kalau nyenggol yg gedeðŸ™,0,2,1,
Pertanggung jawaban di akhirat masih ada walau pun di dunia masih bisa lolos,0,1,,
"34jt viewres...
 Apakah admin msh aktf??",0,0,,
"Luhut memang abadi, danzo didunia nyata",0,0,0,
"ADA YG KESINI GARA"" PAK LUHUT JADI MENTRI LAGI?",1,1,,
Ada yang kesini setelah dia jadi plt menteri kelautan ?,0,1,,
Sehat selalu bang dadhy dwi laksono ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥,0,0,,
"Ada yg kesini gara"" tugas MID ?ðŸ¤£",0,0,,
Ada yang kesini karena tugas??,0,1,,
Bubu,0,0,,
"Sip, semuanya busuk!!! 
 Terimakasih atas Vidio nya yg sudah menyadarkan saya",0,1,1,
19:00 keren bet bapak ini,0,1,1,
Satai ntar hisabnya diakhirat lama itu orang'' yg rakus duit,0,0,1,
Salah,0,0,,
Mantap kali jawaban pemerintah kaltimðŸ˜¡,0,0,0,
"Pemimpin pemimpin yang dzolim 
 Yaallah lindungilah negriku..",0,0,1,
Mantap adegan 4646nya,0,0,,
#MenolakLupa,0,0,,
"Sekarang tgl 14 nov 2020 terbukti kan jokowi, sandiaga, Prabowo sama sama penjahat berkedok kwkwkw..video ini bener..mereka semua drama cuma demi uang dan kekuasaan..kwkwkwðŸ¤£",2,3,1,
"Dan setelah sikian lama masih banyak yang diam dan terus ngalah
 Yang kaya satu dua yang jadi korban jutaan",0,0,,
"Suami mencari nafkah istri.
 .",0,0,,
Keren si videografinya sekelas national geoghrapic,0,0,,
penyebab bisa 34jt view karena menit 00:00 - 1:02,0,0,,
21rb dislike pasti para koruptor dan antek2nya,0,1,,
Kok openingnya gitu ya,0,0,,
Selamatkan rakyat desa miskin dkt pertambangan2di wilayah NKRIðŸ™,0,0,,
"15:08 ya allah ngakak nya dengernya. Ada upaya untuk mencegah korban jiwa? Jawabnya ya kalau udah nasib dia meninggal seharusnya dia tau disitu ada lobang tambang 
 
 Pertanggung jawaban nya di akhirat? ðŸ˜‚ðŸ¤£",2,1,1,
semoga penguasa negeri ini secepatnya mendapat petunjuk ke jalan yg benar,0,1,1,
"Backsoundnya judulnya apa sih? Suka banget, kalo ada yg punya link harap shareðŸ™",0,0,,
"Nonton ke 2 kalinya guys 2020 nobember 9 .
 23:55wib",0,0,,
Kami yang di kalimantan sangat berterima kasih atas video ini sangat mewakili perasaan dan unek. Terim kasih,0,0,1,
"Kesimpulannya PLTU batu bara tdk berguna.. kegunaan nya kecil. Dampak sosial dan kesehatannya besar.. yg terkena adalah org yg tdk mampu. Pendapatannya kecil sehingga membeli air purifer aja tdk mampu. Tapi mau menggunakan berapa banyak air purifer juga. Wong 1 cerobong PLTU itu setara dgn berapa ratus motor tuhh hahaha paling bener pake panel surya di pasang di permukaan laut. Ditebar hingga mencapai luar 5.000H pasti top deh. Rama lingkungan hasilnya juga paten bgt. Mulailah berpikir unt menggunakan energi terbarukan. Krn menjaga kelestarian lingkungan itu sangat penting unt kelangsungan kehidupan semuanya kita ummat manusia.. yg punya duit jgn serakah. Yg pinter, otak nya digunakan. jgn jd jahat... ðŸ‘",0,0,1,
Ayo kalahkan partai banteng di PILKADA besok,0,1,,
Ada yang masih nonton di bulan November 2020ðŸ˜€ðŸ‘,0,0,,
Omnibuslaw ciptakerja adalah bukti balas budi kepada segelintir orang !,0,1,,
"Saya salut dgn jurnalis you tube ini. 
 Padahal mereka tidak d dukung dgn tv mn pun tp berani tuk mengungkapkan secara real.",0,0,1,
Gubernur yg tidak sokolah,0,0,,
"Gila semua ternyata yaa Pejabat kitaðŸ˜ ðŸ˜ 
 Saat nya rakyat melek politik, lawan ayo para Mafia di negeri iniðŸ˜ ðŸ˜ ðŸ˜",0,0,,
"Itu Gubernur Kaltim kasih pernyataan kok kaya orang ngga sekolah nya, ngga pates banget jadi pejabat..
 Pengen doakan mati tapi gak bolehðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜",0,0,,
Ada yg balik ke sini gara2 tugas?,0,0,,
"Kesini mau ngasih tau, desa saya akan diadakan pengeboran air bersih untuk PT sedalam 150meter, doakan semoga gagal :(",0,0,,
Alhamdullilah yang nonton udah mencapai 30 jutaan semoga semakin banyak yang teredukasi,0,0,,
Tiba tiba teringat film ini satu tahun yg lalu setelah melihat disahkan nya perpanjangan industri batubara bakrie 20 tahunðŸ˜•ðŸ¥º,0,0,,
Terbukti,0,0,,
"Kesini gara"" Omnibus law sudah d sahkan tengah malam",0,1,,
Cuma bisa ketawa si liat kek gini. Baru pertambangan batu bara masalahnya udah bejebun segini. Belum lagi pertambangan yang lain,0,0,,
34 juta viewers tapi sayang kena copyright gak bisa di monet,0,0,,
Masukin trending youtobe indonesia 2020 ampe 2021 biar pada ngerti kondisi kita sekarang,0,0,,
Panjang unur hal-hal baikðŸŒ»,0,0,,
Terimakasih atas video yang telah anda dan rekan-rekan anda buat. Semoga setelah menonton video ini orang-orang semakin tahu apa dampak yang akan diterima Indonesia kalau pemerintahnya tidak memedulikan alam yang hanya memedulikan kedudukannya serta kekayaan keluarganya saja.,0,0,1,
INDONESIA ..Negeri Kaya Bagi Para Penguasa..,0,0,,
"jangan hanya lihat dokumentasi ini doang
 lihat dokumentasi lainya yang diperoleh secara susah payah oleh tim expedisi indonesia biru",0,0,,
#MosiTidakPercaya,0,0,,
Folow igx bang dandhy Laksono pembuat video sexykillers,0,0,,
"Ada yang tau, nama instrumen di videonyaa apa ya? Kereun beudddd...",0,0,,
Hasil bumi masuk ke kantong pemimpin..rumusannya..haha,0,0,,
si tabiat rakus yg berada di pemerintahan sudah menguasai,0,0,,
Disini saya dapat menyimpulkan bahwa perkataan jokowi mulai dari waktu kampanye sampai sekarang adalah dusta.,1,3,,
Setahu saya kebutuhan listrik di Jawa itu surplus (kelebihan dari yang dibutuhkan),0,0,,
Jawaban pak gubernur nya kayak anjing,0,0,,
Jadi wisata ndasmu,0,0,,
Gada otak yg dislike ini bajingan..!,0,0,1,
